node1,node2,distance
Byrd Stadium,Shipley Field,0.14467547437598113
Byrd Stadium,La Plata Hall,0.12746837285589147
Byrd Stadium,The Diner,0.10970873675982883
Byrd Stadium,Ellicott Hall,0.08425154438420981
Byrd Stadium,Hagerstown Hall,0.10660949513018007
Byrd Stadium,Outdoor Aquatic Center,0.14443279966161274
Byrd Stadium,Geary F. Eppley Recreation Center,0.18810549477170777
Byrd Stadium,Health and Human Performance,0.24724527127833643
Byrd Stadium,Cumberland Hall,0.19019773352888372
Byrd Stadium,Chestertown Hall,0.22095279808429583
Byrd Stadium,Bel Air Hall,0.25542484567812435
Byrd Stadium,Cambridge Community Center,0.22305889707024762
Byrd Stadium,Centreville Hall,0.2670919556416676
Byrd Stadium,Cambridge Hall,0.2147512921187318
Byrd Stadium,Computer & Space Sciences,0.22636154485612436
Byrd Stadium,Institute for Physical Science & Technology,0.30146149955551554
Byrd Stadium,Regents Dr. Parking Garage,0.2788525178064366
Byrd Stadium,Chemistry,0.4008380304961267
Byrd Stadium,John S. Toll Physics Building,0.349197013345359
Byrd Stadium,Mathematics,0.39482251272808694
Byrd Stadium,Glenn L. Martin Hall,0.4426251296618602
Byrd Stadium,Engineering,0.44003714828812224
Byrd Stadium,A. V. Williams,0.51349477907408
Byrd Stadium,Chem & Nuclear Engineering,0.39856861538833327
Byrd Stadium,Jeong H. Kim Engineering Building,0.4346190893538747
Byrd Stadium,Energy Research Engineering,0.49775128535197777
Byrd Stadium,Animal Sciences,0.376555862028755
Byrd Stadium,Biomolecular Sciences Building,0.469265304320173
Byrd Stadium,Magnetic Imaging Building,0.46189911732094074
Byrd Stadium,Comcast Center,0.3649755174212058
Byrd Stadium,Terrapin Softball Complex,0.46965008629330285
Byrd Stadium,Recreation Artificial Turf Field,0.44436194457726
Byrd Stadium,Research Greenhouse,0.399411554772117
Byrd Stadium,Chesapeake Building,0.4454789707085126
Byrd Stadium,Computer Science Instructional Center,0.515412461806159
Byrd Stadium,Engineering Annex,0.47861391837656664
Byrd Stadium,Wind Tunnel Building,0.48727906288902
Byrd Stadium,JM Patterson,0.33455762710883646
Byrd Stadium,Animal Sciences,0.3440905255490338
Byrd Stadium,Chemistry,0.33233398610449916
Byrd Stadium,Chemistry,0.341481938532111
Byrd Stadium,Instructional Television Facility (ITV),0.42348456711731436
Byrd Stadium,Satellite Central Utilities Building 4 (SCUB4),0.4241737525916757
Byrd Stadium,Potomac Building,0.41968722724027013
Byrd Stadium,Technology Advancement Program (T.A.P.),0.42494624861155117
Byrd Stadium,Central Animal Resources Facility,0.42662858757153793
Byrd Stadium,Agricultural Engineering,0.4011073291818788
Byrd Stadium,(Bldg # 382),0.41496927345730605
Byrd Stadium,(Bldg # 148),0.391993158089184
Byrd Stadium,(Bldg # 110),0.3413789097798916
Byrd Stadium,(Bldg # 119),0.31577952480966415
Byrd Stadium,(Bldg # 102),0.31929639919711433
Byrd Stadium,(Bldg # 103),0.30303148216753856
Byrd Stadium,(Bldg # 108),0.3134940579633087
Byrd Stadium,(Bldg # 109),0.2851579954302326
Byrd Stadium,Terrapin Trail (Arena) Parking Garage (TTG),0.28905345128495413
Byrd Stadium,(Bldg # 124),0.3136109574958125
Byrd Stadium,Easton Hall,0.19106052421835462
Byrd Stadium,Denton Hall,0.1575339015342271
Byrd Stadium,Elkton Hall,0.1346641895301712
Byrd Stadium,(Bldg # 251),0.159521682066226
Byrd Stadium,Center for Young Children,0.15711611484274035
Byrd Stadium,Stadium Dr. Parking Garage (SDG),0.07901766480178768
Byrd Stadium,(Bldg # 156),0.10194126551562749
Byrd Stadium,Clarice Smith Center for Performing Arts,0.14024348695322963
Byrd Stadium,Samuel Riggs IV Alumni Center (Bldg # 407 ?),0.08299822974184817
Byrd Stadium,(Bldg # 363 - 368),0.06329377257986477
Byrd Stadium,(Bldg # 361),0.030277973117402147
Byrd Stadium,(Bldg # 379),0.0485902898478965
Byrd Stadium,(Bldg # 158),0.09960139819543704
Byrd Stadium,(Bldg # 369),0.06807202762172393
Byrd Stadium,SCUB 3 (Bldg # 392),0.0843323446732269
Byrd Stadium,Union Lane Cashier Attended Area,0.09999619196389178
Byrd Stadium,Cole Student Activities Building,0.10895740848649638
Byrd Stadium,Adele H. Stamp Student Union,0.1575635073340765
Byrd Stadium,Biology Psychology,0.2353370890975303
Byrd Stadium,Biosciences Research Building,0.20697417652811326
Byrd Stadium,(Bldg # 010),0.19735348321496088
Byrd Stadium,(Bldg # 232),0.19474066477741367
Byrd Stadium,Microbiology,0.21719424976819274
Byrd Stadium,Hornbake Library,0.2895938216421879
Byrd Stadium,Geology,0.31863172779193694
Byrd Stadium,Plant Sciences,0.2871494653609073
Byrd Stadium,Center for Superconductivity Research,0.36452151060376736
Byrd Stadium,Chemistry,0.36497897581679606
Byrd Stadium,Symons,0.3486442325251514
Byrd Stadium,(Bldg # 075),0.28853660112742147
Byrd Stadium,(Bldg # 074),0.3025609371826625
Byrd Stadium,HJ Patterson,0.24388337241889368
Byrd Stadium,Jimenez,0.21099435348625944
Byrd Stadium,Health Center,0.18952162554177382
Byrd Stadium,St. Mary,0.17516021781182137
Byrd Stadium,Dorchester Hall,0.17598223286228779
Byrd Stadium,Benjamin,0.16690910292657515
Byrd Stadium,Tawes,0.20449474606288698
Byrd Stadium,Anne Arundel,0.20330773171408675
Byrd Stadium,(Bldg # 146),0.24066248223988604
Byrd Stadium,Kehoe Track at Ludwig Field,0.18112379820772415
Byrd Stadium,(Bldg # 389),0.1786112161035843
Byrd Stadium,(Bldg # 164),0.2498182196323016
Byrd Stadium,PGUC (Bldg # 347),0.36974560633555226
Byrd Stadium,ICC (Bldg # 345),0.3668062738048521
Byrd Stadium,SFSC (Bldg # 346),0.3316356361387163
Byrd Stadium,University of Maryland University College (UMUC),0.3554653150397823
Byrd Stadium,Architecture,0.2742012058295001
Byrd Stadium,(Bldg # 400),0.3091692861494858
Byrd Stadium,(Bldg # 039),0.31913803374619776
Byrd Stadium,Van Munching ?,0.3339135922070717
Byrd Stadium,(Bldg # 054),0.2823547583499716
Byrd Stadium,McKeldin Library,0.2266536998652099
Byrd Stadium,(Bldg # 061),0.24085737744101834
Byrd Stadium,(Bldg # 063),0.2581806829643418
Byrd Stadium,Journalism,0.2710213867036694
Byrd Stadium,(Bldg # 051),0.2838082747915375
Byrd Stadium,Tydings,0.29901366723544787
